strain,id,race,flavors,effects,0
Amnesia,50,sativa,"['Earthy', 'Sweet', 'Citrus']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted'], 'negative': ['Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Headache', 'Headaches']}","American Kush, by Alphakronik Genes (AKG), is a 70/30 indica-dominant combination of Pre-98 Bubba Kush and Sin City Kush. It is a robust strain with large bulbous colas that deliver the profound, relaxing body effects that have made Kush strains so popular. With a smooth palate of flavors ranging from fresh lemon to spicy notes of lavender and coffee, American Kush is a delightful answer to muscle spasms, chronic pain, and nausea."
Amnesia Haze,52,sativa,"['Citrus', 'Lemon', 'Earthy']","{'positive': ['Euphoric', 'Happy', 'Creative', 'Energetic', 'Uplifted'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Pain', 'Stress', 'Headache', 'Fatigue', 'Headaches']}","Americano is a Canadian strain released by Enterprise Seeds. It is a Northern Lights/Skunk hybrid that is named for the American consumers it was designed to attract. When tourists, notably Americans, came to Vancouver looking to purchase bulk cannabis, they wanted their buds to have “bag appeal,” or stunning visual characteristics that made it easy to sell. Americano is known for its heavy coat of trichromes and its thick dense colas. The flavors and aromas of Americano stay true to its Skunk lineage and produce a sweet, piney musk. The effects are exactly what you would expect from an indica-driven hybrid: fast-acting, relaxing, and sleepy. Americano is a solid answer to symptoms of insomnia, headaches, and chronic pain."
Ancient Kush,53,indica,"['Cheese', 'Skunk', 'Citrus']","{'positive': ['Relaxed', 'Creative', 'Energetic', 'Sleepy', 'Aroused'], 'negative': [], 'medical': ['Pain', 'Stress', 'Lack of Appetite', 'Headaches']}","Amethyst is a hybrid cannabis strain from the gardens of Zion Botanicals, who crossed parent strains Sage N Sour and Granddaddy Purple. This high-THC 50/50 hybrid provides a clear and focused buzz that sharpens the senses, making this a perfect pair for creative activities, enjoying nature, or productive afternoons. The inhale brings with it sweet and sour flavors ranging from spicy berry to tangy grape."
Ancient OG,54,indica,"['Earthy', 'Diesel', 'Nutty']","{'positive': ['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Sleepy'], 'negative': ['Dry Mouth', 'Dry Eyes'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Headaches']}","Amethyst is a hybrid cannabis strain from the gardens of Zion Botanicals, who crossed parent strains Sage N Sour and Granddaddy Purple. This high-THC 50/50 hybrid provides a clear and focused buzz that sharpens the senses, making this a perfect pair for creative activities, enjoying nature, or productive afternoons. The inhale brings with it sweet and sour flavors ranging from spicy berry to tangy grape."
Anesthesia,55,indica,"['Sweet', 'Earthy', 'Pungent']","{'positive': ['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Sleepy'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Insomnia', 'Pain', 'Stress', 'Headache', 'Headaches', 'Inflammation']}","Amnesia is typically a sativa-dominant cannabis strain with some variation between breeders. Skunk, Cinderella 99, and Jack Herer are some of Amnesia’s genetic forerunners, passing on uplifting, creative, and euphoric effects ideal for treating mood disorders. Growers should expect a 9-10 week flowering period with moderate yields. This strain normally has a high THC and low CBD profile and produces intense psychotropic effects that new consumers should be wary of."
Angel OG,56,indica,"['Pungent', 'Earthy', 'Berry']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Sleepy'], 'negative': ['Dry Mouth'], 'medical': ['Insomnia', 'Pain', 'Stress']}","Amnesia Ganja Haze is another award-winning strain from Sumo Seeds. The sativa is a genetic combination of the famous Amnesia Haze (a classic out of Amsterdam) and Silver Buddha Haze. This new twist on an old favorite garnered Sumo Seeds a 1st place win at the 2017 Semana y Copa Cannabica for Best Sativa, 1st prize for Best Indoor and Premio Especial Del Publico (Best Overall at the 2017 Il Castello Cannabis Cup), as well as 2nd place at the 2017 San Canuto Cup on the island of Fuerteventura. Exhibiting a strong Haze aroma of sour citrus and spiced tropical fruit, Amnesia Ganja Haze delivers a THC and terpene-heavy profile. This strain’s cerebral effects make it enjoyable for use throughout the day.      "
Animal Cookies,57,hybrid,"['Sweet', 'Earthy', 'Pungent']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Fatigue']}","With earthy flavors of lemons and citrus, Amnesia Haze is a perfect strain to start your day with a smile. The uplifting, energetic buzz is one you won’t soon forget. Its genetics have been traced back to the South Asian and Jamaican landrace strains, and this Cannabis Cup winner (1st place 2004, 1st place Sativa Cup 2012) has since been popularized in the coffee shops of Amsterdam."
Anonymous OG,58,indica,"['Earthy', 'Pungent', 'Citrus']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Sleepy', 'Aroused'], 'negative': ['Dry Mouth'], 'medical': ['Insomnia', 'Fatigue', 'Headaches', 'Eye Pressure', 'Inflammation']}","Ancient Kush is an indica-dominant hybrid strain whose genetic background is lost to history, but most certainly contains the age-old characteristics of Afghani indicas. Its short bushy plants bloom with resinous buds that tend to darken purple near the end of maturation. Skunky lemon and smooth earthiness make up this indica’s aroma in a fragrant introduction of her relaxing, mood-warming effects. "
Ape Shit,59,hybrid,"['Grape', 'Sweet', 'Lavender']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Giggly'], 'negative': ['Dry Mouth'], 'medical': ['Depression', 'Insomnia', 'Stress', 'Lack of Appetite', 'Eye Pressure']}",Ancient OG from Bodhi Seeds is a mostly indica strain descended from an Iranian landrace and Snow Lotus. Its thickly resinous buds exude aromatic notes of earthy pine and sweet citrus that are fully realized in Ancient OG’s taste. This high-yielding indica is best suited for sea of green gardens and has a 70 day flowering time. Outdoor cultivators should prepare for harvest in the month of October.
Apollo 11,60,hybrid,"['Pungent', 'Cheese', 'Citrus']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Headaches']}","Anesthesia is the result of breeding the popular old school Afghan Skunk indica with Herojuana. It was created in 2007 by breeder Whazzup in an effort to keep the Afghani Skunk strain going as it had long been only available as a cutting from another plant. Anesthesia was selected as a “Breeder’s Choice” Selection by Dutch seed company Sannie’s Seeds, which has helped to spread its popularity and availability. When grown, these plants branch quite a bit and may grow wider and closer to the ground rather than tall before flowering at 9-10 weeks. Anesthesia flowers are dense and covered in crystals. They have a musky, earthy smell and flavor that is common in its Afghan heritage. Known for its strong, sedative indica buzz, this is a strain that’s often recommended for pain—just as its name would suggest."
Apollo 13,61,hybrid,"['Earthy', 'Sweet', 'Woody']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Giggly'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Pain', 'Stress', 'Headache', 'Fatigue', 'Headaches']}","Angel OG is a fruity Kush cross that drapes the body in mellow effects from head to toe. This strain's OG Kush x Blackberry lineage gives the buds an aroma of earth, pine, and sweetness while supplying the consumer with potent physical effects. The strong relaxing properties of Angel OG are ideal for patients suffering from chronic physical pain, insomnia, and stress."
Appalachia,62,hybrid,"['Pungent', 'Earthy', 'Woody']","{'positive': ['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Creative'], 'negative': ['Dry Eyes'], 'medical': ['Pain', 'Cramps', 'Lack of Appetite', 'Inflammation', 'Muscle Spasms']}","Animal Cookies is the child of the legendary hybrid marijuana strains Girl Scout Cookies and Fire OG. This clone-only strain flowers in 9-10 weeks, and grows into dense, frosty green buds tipped with purple. True to its name, Animal Cookies has a sweet, sour aroma with heavy full-body effects that will impress any veteran consumer. This potent medicine might be overkill for mild symptoms, but its ability to obliterate severe pain and insomnia is unprecedented."
Appalachian Power,63,sativa,"['Tropical', 'Grape', 'Citrus']","{'positive': ['Euphoric', 'Happy', 'Creative', 'Energetic', 'Focused'], 'negative': [], 'medical': []}","The 3C Anonymous OG greets the nose with distinctive woodsy, citrus, diesel scent that indica connoisseurs all know and love. Anonymous OG is a 3C Farms select cut of 3C Kushishima. Its round dense buds are wrapped in deep green calyxes that drip with resin and glitter with trichomes. The flavor is deep, satisfying the most refined palate. This strain is incredibly relaxing and sedative, and should be consumed in the evening for best results. "
Apple Jack,64,hybrid,"['Apple', 'Pungent', 'Skunk']","{'positive': ['Euphoric', 'Happy', 'Creative', 'Talkative', 'Uplifted'], 'negative': ['Dizzy', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Stress', 'Nausea', 'Fatigue', 'Muscle Spasms']}","Ape Shit is the genetic offspring of three quality cannabis strains. By crossing Purple Urkle, Acapulco Gold, and Cinderella 99, this hybrid strain blends deep body effects against bright, heady mental energy. Certain phenotypes exhibit a strong grape odor, but typically this strain smells of lavender with a touch of sweetness. Enjoy this strain as a means to quell depression and anxiety. "
Apple Kush,65,hybrid,"['Apple', 'Diesel', 'Sweet']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Tingly'], 'negative': ['Dry Mouth', 'Dry Eyes'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Eye Pressure']}","Apollo 11 is a potent hybrid cannabis strain with strong cerebral effects that might just have your head feeling like it’s making a moon landing. It’s another strain created by breeders Brothers Grimm and is the half-sister to another heady sativa, Apollo 13. Apollo 11 also has Genius (a Jack Herer phenotype) as a mother, but was crossed with Cinderella 99 to create this uplifting strain. This Apollo shares the family trait of an extremely fast flowering time, usually before 8 weeks. There is some variety among plants, but in general they will stay shorter and develop lots of branches and bud sites. The resinous flowers will have a strong, sharp citrus aroma and a slightly subtler lemon flavor. Effective for treating stress and moderate pain, for a few hours this strain will give you a first-class trip out of this world."
Appleberry,66,indica,"['Berry', 'Earthy', 'Flowery']","{'positive': ['Relaxed', 'Sleepy', 'Focused'], 'negative': [], 'medical': ['Depression', 'Stress', 'Lack of Appetite', 'Headaches', 'Muscle Spasms']}","Apollo 13 consistently receives quite a bit of praise that has come to be expected with strains created by breeders Brothers Grimm. A cross between two of their other successful strains, P75 and Genius (a Jack Herer phenotype), this strain has a decorated lineage. Apollo 13 has the distinction of being especially rare as it is said that only 500 seeds came from the original stock and the few cuttings are the stuff of legend. This plant is less finicky than most and is often recommended for new grower. It also flowers very quickly at 7-8 weeks, producing large sticky buds. Apollo 13’s aroma is unique and very pungent. Its scent has been described as peppery and earthy with a punch of both sour fruit and citrus, while the taste takes on the herbal notes of tea with a skunky aftertaste. As its name suggests, this strain will have your head in the clouds as its effects are cerebral and energizing. While the more popular version of this hybrid is the sativa-dominant plant, be aware that an indica-dominant version is also out there."
Arctic Sun,68,hybrid,"['Ammonia', 'Skunk']","{'positive': ['Relaxed', 'Hungry', 'Euphoric', 'Creative', 'Energetic'], 'negative': [], 'medical': ['Stress']}","Appalachia is a hybrid cross between Green Crack and Tres Dawg bred by High & Lonesome Seeds. A layer of white, cloudy trichomes gives the buds a sage green color with darker leaves and fiery hairs peeking out from underneath. With an aroma of earthy pine and subtle fruit, Appalachia delivers a dreamy and yet functional cerebral buzz paired with relaxing full-body effects. Sensory perception and appetite are sharpened while pain and other symptoms dull, making Appalachia a coveted strain among medical patients and recreational consumers alike."
ArcticBlue,69,hybrid,"['Blueberry', 'Sweet', 'Earthy']","{'positive': ['Relaxed', 'Happy', 'Creative', 'Energetic', 'Focused'], 'negative': ['Dry Mouth'], 'medical': ['Pain', 'Stress', 'Lack of Appetite', 'Inflammation', 'Spasticity']}","Appalachian Power by Soulshine Cannabis is a potent sativa-dominant strain with a rich genetic lineage. By crossing The Appalachian (Grape Punch x Life Saver) with The Power (Island Sweet Skunk x White Widow), Appalachian Power was born. With a deep roster of genetic varieties at its back, it’s no surprise that Appalachian Power’s aroma and flavor offer a unique and rewarding palate of grape, banana, and pineapple. The effects pack a stimulating kick that is not for the faint of heart. It can cause mild paranoia in the uninitiated, but if the dosage is respected, this strain can suit all manner of physical activity and combat lethargy."
